自治体,URL,GitHub,公式
茨城県（本サイト）,https://ibaraki.stopcovid19.jp/,a01sa01to/covid19-ibaraki,0
北海道,https://stopcovid19.hokkaido.dev/,codeforsapporo/covid19,0
青森県,https://covid19.codeforaomori.org/,CodeForAomori/covid19,0
青森県,https://covid19-aomori.info/,covid19-aomori/website,0
青森県,https://covid19-daily-tohoku.news/,momujin/covid19,0
岩手県,https://iwate.stopcovid19.jp/,MeditationDuck/covid19,0
宮城県,https://miyagi.stopcovid19.jp/,code4shiogama/covid19-miyagi,0
秋田県,https://covid19-akita.netlify.app/,asaba-zauberer/covid19-akita,0
山形県,https://stopcovid19-yamagata-unofficial.netlify.app/,ANN2b-MD/covid19,0
山形県,https://stopcovid19-yamagata.netlify.app/,yamaserif/covid19,0
福島県,https://fukushima-covid19.firebaseapp.com/,donuzium/covid19,0
茨城県,https://stopcovid19-ibaraki.jp/,BenataY/covid19,0
栃木県,https://covid19-tochigi.netlify.com/,covid19-tochigi/covid19,0
群馬県,https://covid19-gunma.com/,,0
群馬県,http://stopcovid19.pref.gunma.jp/,bpr-gunma/covid19,2
埼玉県,https://saitama.stopcovid19.jp/,codefortoda/covid19-saitama,1
川口市（埼玉県）,https://www.kawaguchi-stopcovid19.jp/,,0
千葉県,https://covid19.civictech.chiba.jp/,civictechzenchiba/covid19-chiba,2
千葉市（千葉県）,https://stopcovid19.code4chiba.org/,codeforchiba/covid19,0
市原市（千葉県）,https://covid19-ichihara.netlify.app/,YanaseT/covid19-ichihara/,0
八千代市（千葉県）,https://yachiyo-covid19.netlify.app/,taichi1222/covid19-yachiyo,0
葛飾区（東京都）,https://covid19-katsushika.netlify.app/,motya1121/covid19-katsushika,0
東京都,https://stopcovid19.metro.tokyo.lg.jp/,tokyo-metropolitan-gov/covid19/,2
神奈川県,https://www.pref.kanagawa.jp/osirase/1369/,,2
横浜市（神奈川県）,https://covid19.yokohama/,covid19yokohama/covid19,0
新潟県,https://niigata.stopcovid19.jp/,CodeForNiigata/covid19,0
新潟県,https://stopcovid19-niigata-unofficial.netlify.app/,air-h-128k-il/covid19,0
富山県,https://stopcovid19-toyama.netlify.com/,Terachan0117/covid19-toyama,1
石川県,https://ishikawa-covid19.netlify.app/,Retsuki/covid19-ishikawa,0
石川県,https://stopcovid19.pref.ishikawa.jp/,prefishikawa/covid19,2
福井県,https://covid19-fukui.bosai-signal.jp/,westar7/fukui-covid19,0
福井県,https://covid19-fukui.com/,nomunomu0504/covid19,0
山梨県,https://stopcovid19.yamanashi.dev/,covid19-yamanashi/covid19,0
長野県,https://nagano.stopcovid19.jp/,Stop-COVID19-Nagano/covid19,0
長野県,https://covid19-nagano.info/,kanai3id/covid19,0
岐阜県,https://covid19-gifu.netlify.com/,CODE-for-GIFU/covid19,1
浜松市（静岡県）,https://stopcovid19.code4hamamatsu.org/,code-for-hamamatsu/covid19,2
静岡県,http://stopcovid19.code4numazu.org/,hiroyuki-ichikawa/covid19,1
静岡市（静岡県）,https://stopcovid19.city.shizuoka.lg.jp/,kazuomatz/covid19,2
愛知県,https://stopcovid19.code4.nagoya/,code4nagoya/covid19,0
三重県,https://mie.stopcovid19.jp/,FlexiblePrintedCircuits/covid19-mie,0
滋賀県,https://stopcovid19.pref.shiga.jp/,Shiga-pref-org/covid19,2
京都府,https://stop-covid19-kyoto.netlify.app/,stop-covid19-kyoto/covid19-kyoto,0
大阪府,http://covid19-osaka.info/,codeforosaka/covid19,2
兵庫県,https://stop-covid19-hyogo.org/,stop-covid19-hyogo,0
奈良県,https://stopcovid19.code4nara.org/,code4nara/covid19,0
和歌山県,https://thirsty-darwin-c480d2.netlify.com/,norihito-t/covid19,0
和歌山県,https://stopcovid19.wakayama.jp/,sys-cube/covid19,0
鳥取県,https://tottori-covid19.netlify.app/,tottori-covid19/covid19,0
島根県,https://shimane-covid19.com/,TaigaMikami,0
岡山県,https://okayama.stopcovid19.jp/,stopcovid19-okayama/covid19,0
広島県,https://covid19-hiroshima.netlify.app/,tatsuya1970/covid19,0
広島市（広島県）,https://stopcovid19-hiroshima-city.hiroshima-cu.ac.jp/,inspired-fox/covid19-hirosima_city,1
山口県,http://yamaguchi.stopcovid19.jp/,nishidayoshikatsu/covid19-yamaguchi,1
徳島県,https://covid19-tokushima.netlify.com,yuta-kusuno/covid19-tokushima,0
香川県,https://kagawa.stopcovid19.jp,codeforkagawa/covid19,0
香川県,https://covid19-kagawa.jp/,i15317/covid19,0
愛媛県,https://ehime-covid19.com/,ehime-covid19/covid19,2
高知県,https://stopcovid19.code4kochi.com/,,0
福岡市（福岡県）,https://stopcovid19.codeforfukuoka.org/,Code-for-Fukuoka/covid19,0
福岡県,https://fukuoka.stopcovid19.jp/,Code-for-Fukuoka/covid19-fukuoka,2
佐賀県,https://stopcovid19.code4saga.org/,codeforsaga/covid19,0
長崎県,http://nagasaki.stopcovid19.jp/,CodeForNagasaki/covid19,0
熊本県,https://kumamoto.stopcovid19.jp/,codeforkumamoto/covid19,0
大分県,https://oita.stopcovid19.jp/,covid19-oita/covid19,0
宮崎県,https://covid19-miyazaki.netlify.app/,covid19-miyazaki/covid19,0
鹿児島県,https://covid19.code4kagoshima.org,codeforkagoshima/covid19,0
沖縄県,https://okinawa.stopcovid19.jp/,Code-for-OKINAWA/covid19,0
全国,https://stop-covid19-japan.netlify.app/,,0
全国,https://covid19.wlaboratory.com ,mm0202/covid19-jp,0
台湾,https://stopcovid19.pichuchen.tw/,pichuchen/covid19,0
